,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
35,San Diego,5/1/2020,County,3370418,170,4776,1,145,1837,45013,157,4276,290,60,350
91,San Diego,5/2/2020,County,3370418,90,4866,7,152,940,45953,75,4351,289,68,357
147,San Diego,5/3/2020,County,3370418,102,4968,8,160,1159,47112,133,4484,276,76,352
203,San Diego,5/4/2020,County,3370418,136,5104,5,165,2366,49478,197,4681,300,54,354
259,San Diego,5/5/2020,County,3370418,140,5244,6,171,2603,52081,195,4876,294,69,363
315,San Diego,5/6/2020,County,3370418,143,5387,4,175,2882,54963,177,5053,308,71,379
371,San Diego,5/7/2020,County,3370418,133,5520,7,182,2859,57822,156,5209,312,75,387
427,San Diego,5/8/2020,County,3370418,157,5677,1,183,3047,60869,168,5377,334,73,407
483,San Diego,5/9/2020,County,3370418,107,5784,8,191,1638,62507,91,5468,338,58,396
539,San Diego,5/10/2020,County,3370418,112,5896,6,197,984,63491,55,5523,334,56,390
595,San Diego,5/11/2020,County,3370418,152,6048,6,203,2790,66281,170,5693,339,61,400
651,San Diego,5/12/2020,County,3370418,153,6201,8,211,3404,69685,202,5895,334,51,385
707,San Diego,5/13/2020,County,3370418,144,6345,3,214,3640,73325,178,6073,329,51,380
763,San Diego,5/14/2020,County,3370418,136,6481,4,218,3284,76609,167,6240,329,70,399
819,San Diego,5/15/2020,County,3370418,134,6615,3,221,3311,79920,172,6412,326,66,392
875,San Diego,5/16/2020,County,3370418,107,6722,9,230,2129,82049,95,6507,319,51,370
931,San Diego,5/17/2020,County,3370418,86,6808,4,234,1157,83206,48,6555,321,59,380
987,San Diego,5/18/2020,County,3370418,131,6939,9,243,3565,86771,178,6733,329,49,378
1043,San Diego,5/19/2020,County,3370418,132,7071,4,247,4271,91042,191,6924,319,68,387
1099,San Diego,5/20/2020,County,3370418,144,7215,4,251,4335,95377,178,7102,335,69,404
1155,San Diego,5/21/2020,County,3370418,116,7331,4,255,3860,99237,144,7246,325,53,378
1211,San Diego,5/22/2020,County,3370418,136,7467,5,260,4472,103709,181,7427,331,50,381
1267,San Diego,5/23/2020,County,3370418,86,7553,3,263,2912,106621,114,7541,304,82,386
1323,San Diego,5/24/2020,County,3370418,91,7644,6,269,1606,108227,82,7623,310,60,370
1379,San Diego,5/25/2020,County,3370418,143,7787,4,273,1454,109681,54,7677,317,68,385
1435,San Diego,5/26/2020,County,3370418,175,7962,6,279,5544,115225,266,7943,325,58,383
1491,San Diego,5/27/2020,County,3370418,143,8105,3,282,5925,121150,250,8193,329,79,408
1547,San Diego,5/28/2020,County,3370418,150,8255,4,286,4613,125763,201,8394,313,70,383
1603,San Diego,5/29/2020,County,3370418,157,8412,3,289,5305,131068,233,8627,300,58,358
1659,San Diego,5/30/2020,County,3370418,123,8535,1,290,2943,134011,137,8764,311,86,397
1715,San Diego,5/31/2020,County,3370418,93,8628,6,296,1494,135505,59,8823,306,92,398
1771,San Diego,6/1/2020,County,3370418,193,8821,5,301,5546,141051,193,9016,314,83,397
1827,San Diego,6/2/2020,County,3370418,179,9000,4,305,6063,147114,215,9231,297,72,369
1883,San Diego,6/3/2020,County,3370418,146,9146,2,307,7319,154433,237,9468,295,75,370
1939,San Diego,6/4/2020,County,3370418,147,9293,4,311,6545,160978,196,9664,297,82,379
1995,San Diego,6/5/2020,County,3370418,163,9456,3,314,5898,166876,206,9870,299,69,368
2051,San Diego,6/6/2020,County,3370418,115,9571,3,317,2706,169582,104,9974,285,76,361
2107,San Diego,6/7/2020,County,3370418,120,9691,4,321,1666,171248,72,10046,286,73,359
2163,San Diego,6/8/2020,County,3370418,179,9870,3,324,5900,177148,169,10215,291,80,371
2219,San Diego,6/9/2020,County,3370418,156,10026,3,327,5547,182695,183,10398,299,74,373
2275,San Diego,6/10/2020,County,3370418,185,10211,3,330,5989,188684,216,10614,286,76,362
2331,San Diego,6/11/2020,County,3370418,163,10374,5,335,6356,195040,196,10810,277,75,352
2387,San Diego,6/12/2020,County,3370418,230,10604,3,338,5635,200675,202,11012,275,41,316
2443,San Diego,6/13/2020,County,3370418,169,10773,4,342,2883,203558,142,11154,284,58,342
2499,San Diego,6/14/2020,County,3370418,172,10945,2,344,1698,205256,73,11227,282,84,366
2555,San Diego,6/15/2020,County,3370418,375,11320,2,346,6461,211717,274,11501,294,66,360
2611,San Diego,6/16/2020,County,3370418,339,11659,2,348,6662,218379,274,11775,289,54,343
2667,San Diego,6/17/2020,County,3370418,361,12020,3,351,6695,225074,350,12125,283,60,343
2723,San Diego,6/18/2020,County,3370418,379,12399,6,357,6373,231447,336,12461,288,63,351
2779,San Diego,6/19/2020,County,3370418,421,12820,1,358,6644,238091,364,12825,294,65,359
2835,San Diego,6/20/2020,County,3370418,362,13182,2,360,3501,241592,218,13043,280,50,330
2891,San Diego,6/21/2020,County,3370418,323,13505,3,363,1747,243339,124,13167,277,49,326
2947,San Diego,6/22/2020,County,3370418,546,14051,3,366,6006,249345,276,13443,286,60,346
3003,San Diego,6/23/2020,County,3370418,491,14542,7,373,7508,256853,379,13822,312,58,370
3059,San Diego,6/24/2020,County,3370418,519,15061,4,377,6106,262959,278,14100,333,50,383
3115,San Diego,6/25/2020,County,3370418,503,15564,3,380,4976,267935,249,14349,368,57,425
3171,San Diego,6/26/2020,County,3370418,538,16102,2,382,3832,271767,167,14516,362,65,427
3227,San Diego,6/27/2020,County,3370418,364,16466,4,386,1653,273420,88,14604,363,74,437
3283,San Diego,6/28/2020,County,3370418,364,16830,2,388,682,274102,58,14662,373,85,458
3339,San Diego,6/29/2020,County,3370418,546,17376,5,393,3325,277427,262,14924,395,98,493
3395,San Diego,6/30/2020,County,3370418,575,17951,5,398,3981,281408,258,15182,391,62,453
3451,San Diego,7/1/2020,County,3370418,704,18655,8,406,5374,286782,325,15507,398,64,462
3507,San Diego,7/2/2020,County,3370418,564,19219,11,417,5822,292604,361,15868,380,79,459
3563,San Diego,7/3/2020,County,3370418,466,19685,5,422,4386,296990,291,16159,367,68,435
3619,San Diego,7/4/2020,County,3370418,454,20139,4,426,1561,298551,127,16286,372,73,445
3675,San Diego,7/5/2020,County,3370418,459,20598,4,430,2450,301001,206,16492,374,67,441
3731,San Diego,7/6/2020,County,3370418,690,21288,5,435,9077,310078,702,17194,384,72,456
3787,San Diego,7/7/2020,County,3370418,729,22017,2,437,9662,319740,702,17896,406,73,479
3843,San Diego,7/8/2020,County,3370418,716,22733,10,447,9886,329626,724,18620,407,76,483
3899,San Diego,7/9/2020,County,3370418,567,23300,3,450,9687,339313,696,19316,404,85,489
3955,San Diego,7/10/2020,County,3370418,591,23891,9,459,9244,348557,711,20027,411,79,490
4011,San Diego,7/11/2020,County,3370418,384,24275,8,467,4322,352879,370,20397,385,81,466
4067,San Diego,7/12/2020,County,3370418,391,24666,9,476,2728,355607,219,20616,389,78,467
4123,San Diego,7/13/2020,County,3370418,629,25295,12,488,8937,364544,535,21151,383,75,458
4179,San Diego,7/14/2020,County,3370418,562,25857,8,496,9158,373702,574,21725,394,88,482
4235,San Diego,7/15/2020,County,3370418,618,26475,9,505,8141,381843,565,22290,401,99,500
4291,San Diego,7/16/2020,County,3370418,466,26941,9,514,8020,389863,484,22774,388,110,498
4347,San Diego,7/17/2020,County,3370418,486,27427,5,519,7760,397623,460,23234,402,107,509
4403,San Diego,7/18/2020,County,3370418,388,27815,5,524,3428,401051,278,23512,396,91,487
4459,San Diego,7/19/2020,County,3370418,303,28118,4,528,2439,403490,146,23658,390,92,482
4515,San Diego,7/20/2020,County,3370418,500,28618,8,536,7335,410825,395,24053,402,97,499
4571,San Diego,7/21/2020,County,3370418,440,29058,5,541,7358,418183,512,24565,401,84,485
4627,San Diego,7/22/2020,County,3370418,447,29505,7,548,5672,423855,330,24895,351,82,433
4683,San Diego,7/23/2020,County,3370418,387,29892,7,555,4909,428764,261,25156,356,86,442
4739,San Diego,7/24/2020,County,3370418,372,30264,5,560,4583,433347,262,25418,347,73,420
4795,San Diego,7/25/2020,County,3370418,300,30564,8,568,2737,436084,166,25584,354,88,442
4851,San Diego,7/26/2020,County,3370418,261,30825,7,575,1791,437875,80,25664,369,89,458
4907,San Diego,7/27/2020,County,3370418,396,31221,4,579,4441,442316,269,25933,343,89,432
4963,San Diego,7/28/2020,County,3370418,367,31588,4,583,6098,448414,307,26240,392,110,502
5019,San Diego,7/29/2020,County,3370418,350,31938,7,590,4772,453186,272,26512,366,82,448
5075,San Diego,7/30/2020,County,3370418,324,32262,3,593,5871,459057,316,26828,348,72,420
5131,San Diego,7/31/2020,County,3370418,345,32607,5,598,6463,465520,351,27179,315,66,381
