"date","cases","cumulative_cases","hospitalized_confirmed","hospitalized_suspected","hospitalized_covid_patients"
"2021-01-01",2830,176608,20344,859,21203
"2021-01-02",4140,180748,20690,820,21510
"2021-01-03",4076,184824,21128,875,22003
"2021-01-04",5946,190770,21597,888,22485
"2021-01-05",4772,195542,21923,898,22821
"2021-01-06",4452,199994,21938,915,22853
"2021-01-07",4106,204100,21855,981,22836
"2021-01-08",3732,207832,21754,846,22600
"2021-01-09",2572,210404,21647,866,22513
"2021-01-10",2648,213052,21664,965,22629
"2021-01-11",4266,217318,21747,918,22665
"2021-01-12",3358,220676,21654,896,22550
"2021-01-13",2986,223662,21282,928,22210
"2021-01-14",2812,226474,20999,858,21857
"2021-01-15",2878,229352,20722,857,21579
"2021-01-16",2060,231412,20323,820,21143
"2021-01-17",2074,233486,20172,830,21002
"2021-01-18",2986,236472,20062,880,20942
"2021-01-19",2490,238962,19979,835,20814
"2021-01-20",2284,241246,19537,871,20408
"2021-01-21",2300,243546,18985,870,19855
"2021-01-22",2358,245904,18442,851,19293
"2021-01-23",1542,247446,17810,828,18638
"2021-01-24",1420,248866,17432,915,18347
"2021-01-25",2420,251286,17236,803,18039
"2021-01-26",1832,253118,16839,871,17710
"2021-01-27",1808,254926,16251,892,17143
"2021-01-28",1712,256638,15705,876,16581
"2021-01-29",1620,258258,15296,828,16124
"2021-01-30",1202,259460,14856,820,15676
"2021-01-31",1036,260496,14443,769,15212
"2021-02-01",1766,262262,14221,778,14999
"2021-02-02",1472,263734,13766,812,14578
"2021-02-03",1436,265170,13277,861,14138
"2021-02-04",1064,266234,12863,809,13672
"2021-02-05",1254,267488,12345,792,13137
"2021-02-06",996,268484,11695,781,12476
"2021-02-07",898,269382,11385,700,12085
"2021-02-08",1336,270718,11198,706,11904
"2021-02-09",1000,271718,10771,745,11516
"2021-02-10",864,272582,10348,680,11028
"2021-02-11",932,273514,9872,622,10494
"2021-02-12",748,274262,9414,584,9998
"2021-02-13",664,274926,8996,640,9636
"2021-02-14",510,275436,8727,606,9333
"2021-02-15",850,276286,8479,616,9095
"2021-02-16",754,277040,8215,640,8855
"2021-02-17",714,277754,7904,662,8566
"2021-02-18",744,278498,7514,642,8156
"2021-02-19",698,279196,7148,599,7747
"2021-02-20",526,279722,6704,609,7313
"2021-02-21",492,280214,6569,596,7165
"2021-02-22",724,280938,6345,563,6908
"2021-02-23",658,281596,6185,579,6764
"2021-02-24",596,282192,5934,586,6520
"2021-02-25",420,282612,5590,562,6152
"2021-02-26",574,283186,5372,525,5897
"2021-02-27",434,283620,5143,531,5674
"2021-02-28",430,284050,4912,497,5409
"2021-03-01",586,284636,4812,490,5302
"2021-03-02",538,285174,4597,513,5110
"2021-03-03",520,285694,4449,518,4967
"2021-03-04",458,286152,4179,535,4714
"2021-03-05",530,286682,4004,509,4513
"2021-03-06",388,287070,3812,479,4291
"2021-03-07",378,287448,3766,462,4228
"2021-03-08",542,287990,3744,461,4205
"2021-03-09",464,288454,3625,494,4119
"2021-03-10",482,288936,3477,481,3958
"2021-03-11",456,289392,3335,477,3812
"2021-03-12",484,289876,3250,439,3689
"2021-03-13",306,290182,3130,445,3575
"2021-03-14",370,290552,3119,438,3557
"2021-03-15",484,291036,3058,398,3456
"2021-03-16",400,291436,3025,437,3462
"2021-03-17",414,291850,3002,454,3456
"2021-03-18",402,292252,2872,431,3303
"2021-03-19",380,292632,2769,428,3197
"2021-03-20",306,292938,2690,425,3115
"2021-03-21",274,293212,2605,407,3012
"2021-03-22",510,293722,2586,419,3005
"2021-03-23",496,294218,2545,442,2987
"2021-03-24",444,294662,2449,377,2826
"2021-03-25",414,295076,2379,386,2765
"2021-03-26",470,295546,2372,332,2704
"2021-03-27",268,295814,2290,363,2653
"2021-03-28",312,296126,2252,346,2598
"2021-03-29",508,296634,2257,342,2599
"2021-03-30",420,297054,2264,359,2623
"2021-03-31",422,297476,2200,383,2583
"2021-04-01",446,297922,2147,391,2538
"2021-04-02",422,298344,2054,375,2429
"2021-04-03",338,298682,2023,388,2411
"2021-04-04",294,298976,2005,381,2386
"2021-04-05",530,299506,1989,384,2373
