"county","age_group","population","susceptible","exposed","isolated","symptomatic","asymptomatic","hospitalized","deaths","recovered","vaccinated","cumulative_vaccinated"
"Alameda","0-17",125790,60801,0,0,35,35,7,0,39,3513,64873
"Alameda","18-49",709449,175989,0,0,155,155,32,0,173,5397,532945
"Alameda","50-64",315731,69745,0,0,51,51,11,0,56,1514,245817
"Alameda","65+",284564,82997,0,0,28,28,6,0,32,590,201473
"Alpine","0-17",95,95,0,0,0,0,0,0,0,0,0
"Alpine","18-49",346,102,0,0,0,0,0,0,0,1,244
"Alpine","50-64",255,11,0,0,0,0,0,0,0,0,244
"Alpine","65+",349,141,0,0,0,0,0,0,0,0,208
"Amador","0-17",1896,1571,0,0,0,0,0,0,0,10,325
"Amador","18-49",11888,8436,0,0,2,2,1,0,7,42,3440
"Amador","50-64",8777,4702,0,0,0,0,0,0,1,27,4074
"Amador","65+",11409,4409,0,0,0,0,0,1,0,19,6999
"Butte","0-17",16963,14105,0,0,3,3,1,0,4,197,2847
"Butte","18-49",93261,59323,0,0,15,15,5,0,25,409,33878
"Butte","50-64",35383,14977,0,0,5,5,2,0,9,163,20385
"Butte","65+",49818,23167,0,0,3,3,1,0,4,83,26640
"Calaveras","0-17",2443,2065,0,0,1,1,0,0,0,20,376
"Calaveras","18-49",14002,10070,0,0,5,5,0,0,5,52,3917
"Calaveras","50-64",8872,3792,0,0,2,2,0,0,0,27,5076
"Calaveras","65+",14430,6213,0,0,1,1,0,0,0,18,8215
"Colusa","0-17",2367,2156,0,0,0,0,0,0,0,23,211
"Colusa","18-49",8491,4860,0,0,3,3,0,0,3,80,3622
"Colusa","50-64",4090,1863,0,0,0,0,0,0,0,31,2227
"Colusa","65+",3877,1768,0,0,0,0,0,0,0,5,2109
"Contra Costa","0-17",91671,44109,0,0,27,27,4,0,40,2061,47464
"Contra Costa","18-49",462062,147042,0,0,117,117,17,0,179,3143,314590
"Contra Costa","50-64",233921,51185,0,0,39,39,6,0,59,898,182593
"Contra Costa","65+",216861,51751,0,0,22,22,3,0,33,296,165030
"Del Norte","0-17",1877,1673,0,0,0,0,0,0,1,12,203
"Del Norte","18-49",10245,7535,0,0,3,3,0,0,5,43,2699
"Del Norte","50-64",5670,3053,0,0,1,1,0,0,1,29,2614
"Del Norte","65+",5141,1771,0,0,0,0,0,0,1,16,3369
"El Dorado","0-17",12880,8715,0,0,6,6,1,0,5,202,4147
"El Dorado","18-49",69673,41486,0,0,26,26,3,0,27,313,28105
"El Dorado","50-64",40515,14839,0,0,8,8,1,0,8,141,25651
"El Dorado","65+",45818,15120,0,0,5,5,1,0,5,59,30682
"Fresno","0-17",92815,73622,0,0,11,11,8,0,21,1187,19142
"Fresno","18-49",444438,257554,0,0,45,45,36,0,94,2552,186664
"Fresno","50-64",162437,62503,0,0,15,15,12,0,32,759,99860
"Fresno","65+",140972,46815,0,0,9,9,7,0,18,289,94114
"Glenn","0-17",2532,2184,0,0,0,0,0,0,0,33,348
"Glenn","18-49",11469,7592,0,0,1,1,0,0,3,83,3872
"Glenn","50-64",5787,2938,0,0,0,0,0,0,0,38,2849
"Glenn","65+",4839,1343,0,0,0,0,0,0,0,14,3496
"Humboldt","0-17",9776,6990,0,0,4,4,1,0,7,118,2770
"Humboldt","18-49",54545,25887,0,0,15,15,3,0,35,380,28590
"Humboldt","50-64",22878,7790,0,0,5,5,1,0,12,137,15065
"Humboldt","65+",28820,9903,0,0,2,2,1,0,7,60,18905
"Imperial","0-17",16056,9264,0,0,2,2,1,0,5,521,6782
"Imperial","18-49",79114,33024,0,0,9,9,3,0,23,1265,46046
"Imperial","50-64",31613,8697,0,0,3,3,1,0,7,237,22902
"Imperial","65+",28607,10577,0,0,2,2,1,0,4,54,18021
"Inyo","0-17",1362,1054,0,0,0,0,0,0,0,25,308
"Inyo","18-49",5746,2967,0,0,3,3,0,0,1,16,2772
"Inyo","50-64",3660,1495,0,0,1,1,0,0,0,6,2163
"Inyo","65+",4970,1845,0,0,0,0,0,0,0,5,3125
"Kern","0-17",85563,70992,0,0,8,8,4,0,17,1030,14534
"Kern","18-49",405656,267374,0,0,38,38,19,0,72,2081,138115
"Kern","50-64",149530,70183,0,0,13,13,6,0,24,729,79291
"Kern","65+",112451,42025,0,0,7,7,4,0,14,291,70394
"Kings","0-17",13762,11741,0,0,1,1,1,0,3,116,2015
"Kings","18-49",66516,47700,0,0,9,9,3,0,13,225,18782
"Kings","50-64",28245,17468,0,0,3,3,1,0,5,75,10765
"Kings","65+",18270,8701,0,0,1,1,1,0,1,37,9565
"Lake","0-17",4613,4100,0,0,5,5,0,0,0,40,503
"Lake","18-49",22109,14489,0,0,20,20,1,0,6,125,7573
"Lake","50-64",11671,4319,0,0,6,6,0,0,1,82,7339
"Lake","65+",16809,7211,0,0,4,4,0,0,0,42,9590
"Lassen","0-17",1123,1021,0,0,2,2,0,0,2,5,96
