,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
13720,Alameda,1/1/2021,County,1685886,548,57238,9,673,2656,1390175,268,64464,430,38,468
13776,Alameda,1/2/2021,County,1685886,648,57886,17,690,5983,1396158,639,65103,428,48,476
13832,Alameda,1/3/2021,County,1685886,622,58508,11,701,5501,1401659,533,65636,425,41,466
13888,Alameda,1/4/2021,County,1685886,1248,59756,16,717,16202,1417861,1429,67065,424,57,481
13944,Alameda,1/5/2021,County,1685886,1223,60979,9,726,17626,1435487,1485,68550,442,51,493
14000,Alameda,1/6/2021,County,1685886,1117,62096,8,734,14848,1450335,1327,69877,431,50,481
14056,Alameda,1/7/2021,County,1685886,854,62950,10,744,13860,1464195,1033,70910,432,61,493
14112,Alameda,1/8/2021,County,1685886,861,63811,11,755,13020,1477215,1063,71973,442,52,494
14168,Alameda,1/9/2021,County,1685886,563,64374,16,771,6841,1484056,621,72594,428,43,471
14224,Alameda,1/10/2021,County,1685886,544,64918,9,780,5588,1489644,464,73058,424,37,461
14280,Alameda,1/11/2021,County,1685886,979,65897,20,800,16972,1506616,1227,74285,428,50,478
14336,Alameda,1/12/2021,County,1685886,852,66749,15,815,16143,1522759,1076,75361,430,38,468
14392,Alameda,1/13/2021,County,1685886,824,67573,9,824,15205,1537964,1048,76409,437,55,492
14448,Alameda,1/14/2021,County,1685886,750,68323,12,836,14347,1552311,1007,77416,437,52,489
14504,Alameda,1/15/2021,County,1685886,627,68950,7,843,12842,1565153,869,78285,422,48,470
14560,Alameda,1/16/2021,County,1685886,429,69379,13,856,6394,1571547,556,78841,446,48,494
14616,Alameda,1/17/2021,County,1685886,322,69701,10,866,4060,1575607,287,79128,458,44,502
14672,Alameda,1/18/2021,County,1685886,565,70266,4,870,9926,1585533,609,79737,445,40,485
14728,Alameda,1/19/2021,County,1685886,632,70898,13,883,17389,1602922,795,80532,443,47,490
14784,Alameda,1/20/2021,County,1685886,642,71540,13,896,15319,1618241,814,81346,416,41,457
14840,Alameda,1/21/2021,County,1685886,474,72014,16,912,13948,1632189,653,81999,409,42,451
14896,Alameda,1/22/2021,County,1685886,434,72448,6,918,12650,1644839,593,82592,406,38,444
14952,Alameda,1/23/2021,County,1685886,318,72766,8,926,5297,1650136,382,82974,404,40,444
15008,Alameda,1/24/2021,County,1685886,248,73014,11,937,3695,1653831,202,83176,406,39,445
15064,Alameda,1/25/2021,County,1685886,501,73515,8,945,15365,1669196,670,83846,396,40,436
15120,Alameda,1/26/2021,County,1685886,425,73940,12,957,14006,1683202,632,84478,382,36,418
15176,Alameda,1/27/2021,County,1685886,376,74316,8,965,11210,1694412,412,84890,359,41,400
15232,Alameda,1/28/2021,County,1685886,418,74734,9,974,12073,1706485,566,85456,353,46,399
15288,Alameda,1/29/2021,County,1685886,424,75158,8,982,12286,1718771,604,86060,347,39,386
15344,Alameda,1/30/2021,County,1685886,267,75425,9,991,4680,1723451,310,86370,330,38,368
15400,Alameda,1/31/2021,County,1685886,203,75628,5,996,3341,1726792,121,86491,318,31,349
15456,Alameda,2/1/2021,County,1685886,425,76053,10,1006,15824,1742616,584,87075,314,39,353
15512,Alameda,2/2/2021,County,1685886,356,76409,7,1013,14672,1757288,513,87588,316,35,351
15568,Alameda,2/3/2021,County,1685886,343,76752,7,1020,12268,1769556,430,88018,301,39,340
15624,Alameda,2/4/2021,County,1685886,325,77077,11,1031,12863,1782419,468,88486,302,42,344
15680,Alameda,2/5/2021,County,1685886,286,77363,7,1038,11584,1794003,393,88879,294,34,328
15736,Alameda,2/6/2021,County,1685886,229,77592,3,1041,4926,1798929,203,89082,282,37,319
15792,Alameda,2/7/2021,County,1685886,153,77745,8,1049,3276,1802205,164,89246,279,32,311
15848,Alameda,2/8/2021,County,1685886,301,78046,5,1054,15362,1817567,457,89703,273,28,301
15904,Alameda,2/9/2021,County,1685886,261,78307,8,1062,14502,1832069,389,90092,260,40,300
15960,Alameda,2/10/2021,County,1685886,262,78569,7,1069,12361,1844430,338,90430,242,41,283
16016,Alameda,2/11/2021,County,1685886,201,78770,7,1076,11928,1856358,329,90759,230,40,270
16072,Alameda,2/12/2021,County,1685886,226,78996,7,1083,10314,1866672,331,91090,219,39,258
16128,Alameda,2/13/2021,County,1685886,149,79145,13,1096,4381,1871053,208,91298,213,38,251
16184,Alameda,2/14/2021,County,1685886,122,79267,6,1102,2675,1873728,116,91414,201,49,250
16240,Alameda,2/15/2021,County,1685886,152,79419,3,1105,6397,1880125,161,91575,207,38,245
16296,Alameda,2/16/2021,County,1685886,197,79616,4,1109,16395,1896520,365,91940,200,37,237
16352,Alameda,2/17/2021,County,1685886,169,79785,6,1115,11852,1908372,238,92178,194,33,227
16408,Alameda,2/18/2021,County,1685886,162,79947,3,1118,10388,1918760,233,92411,183,29,212
16464,Alameda,2/19/2021,County,1685886,134,80081,3,1121,10700,1929460,208,92619,190,29,219
16520,Alameda,2/20/2021,County,1685886,100,80181,4,1125,4490,1933950,130,92749,176,26,202
16576,Alameda,2/21/2021,County,1685886,91,80272,4,1129,3331,1937281,83,92832,174,26,200
16632,Alameda,2/22/2021,County,1685886,194,80466,3,1132,13227,1950508,263,93095,180,23,203
16688,Alameda,2/23/2021,County,1685886,151,80617,9,1141,13300,1963808,217,93312,175,25,200
16744,Alameda,2/24/2021,County,1685886,138,80755,2,1143,12360,1976168,181,93493,172,22,194
16800,Alameda,2/25/2021,County,1685886,120,80875,6,1149,10872,1987040,171,93664,168,19,187
16856,Alameda,2/26/2021,County,1685886,121,80996,2,1151,10267,1997307,182,93846,157,24,181
16912,Alameda,2/27/2021,County,1685886,95,81091,2,1153,4183,2001490,131,93977,163,26,189
16968,Alameda,2/28/2021,County,1685886,74,81165,0,1153,2957,2004447,60,94037,152,26,178
17024,Alameda,3/1/2021,County,1685886,121,81286,4,1157,13663,2018110,153,94190,136,24,160
